sensor_id,lat,lon,pm25
133674,40.689583,-111.911644,14.731556597222223
5486,40.55721,-111.820854,9.055938541666666
13075,40.629227,-112.04045,7.657429513888889
189709,40.86728,-111.88558,17.056506944444443
3388,40.73344,-111.82151,15.866139930555557
204901,40.682804,-111.79839,12.367152347826089
241941,40.7505,-111.69923,7.145050871080139
189459,40.86155,-111.87546,16.46004027777778
156623,40.746777,-111.84749,275.44791999999995
282690,40.610325,-112.04399,2.65
235753,40.542984,-112.04023,16.2601375
281318,40.47523,-111.8861,10.339233333333333
6288,40.701218,-111.96849,63.33179290780142
41419,40.9478,-111.88453,20.393821602787458
36161,40.703495,-111.951004,18.579009722222224
5572,40.522305,-111.92919,19.822594097222222
30943,40.63357,-111.88259,90.33343645833334
43339,40.474472,-111.891624,20.642465625
12989,40.507996,-111.84933,12.38511119133574
255819,40.8515,-111.86098,7.670936458333333
189031,40.640045,-111.93181,27.29122425742574
169851,40.90276,-111.87242,20.061126736111113
84019,40.68181,-112.01307,10.776318055555555
30955,40.61303,-111.895325,21.27648159722222
44103,40.89667,-111.85694,130.4192262237762
18021,40.637936,-111.89346,19.916197222222223
298651,40.8615,-111.94077,25.714728472222216
112754,40.786934,-111.73896,15.213349305555555
59223,40.475525,-111.886055,19.77869652777778
189671,40.634926,-111.85503,18.666534722222224
278649,40.759583,-111.92369,30.215107291666666
139930,40.424454,-111.75363,3.8914232638888886
25309,40.9656,-111.89954,7.507367361111111
94765,40.71714,-111.80631,15.66718263888889
155177,40.681572,-111.86667,21.744902430555552
7206,40.685474,-111.82784,15.452827430555557
199645,40.590206,-111.83429,20.06720486111111
243073,40.585335,-111.88774,30.174991666666667
15827,41.0294,-111.932014,24.594597569444446
87209,40.74558,-111.57225,5.680823263888889
42079,40.672817,-111.78331,10.28543642732049
13307,40.63026,-111.893715,19.910929513888888
28675,40.77386,-111.858665,9.193844444444444
10808,40.507317,-111.899185,18.68684746945899
13279,40.68914,-111.957115,20.56615138888889
169867,40.8716,-111.9032,18.791338888888887
30967,41.0665,-111.912445,14.315272569444446
294017,40.737495,-111.85777,23.314139236111114
